Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ROESELARE - FH04;4375037;0;1;1;2;MDU;A;N;IRREG;1;16;;;;;BUILDING template;Jules Lagaelaan;9;;;;
ROESELARE - FH04;1252977;5;0;0;5;MDU;D;Y;NA;2;7;;;;;BUILDING template;Spanjestraat;15;;;;
ROESELARE - FH04;1252335;0;1;0;1;SDU;;N;IRREG;5;20;;;;;BUILDING template;Beversesteenweg;35;;;;
ROESELARE - FH04;6059688;1;0;0;1;MDU;D;N;IRREG;1;4;;;;;BUILDING template;Oostrem;1;;;;
ROESELARE - FH04;4181135;0;1;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Sint-Hubrechtsstraat;31;;;;
ROESELARE - FH04;1503069;0;1;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Spanjestraat;136;;;;
ROESELARE - FH04;5382619;1;0;0;1;MDU;D;N;IRREG;1;4;;;;;BUILDING template;Oostrem;1;B;;;
ROESELARE - FH04;1252759;0;1;0;1;SDU;;N;IRREG;1;4;;;;;BUILDING template;Ardooisesteenweg;123;;;;
ROESELARE - FH04;5713505;4;0;0;4;MDU;D;Y;NA;2;4;;;;;BUILDING template;Overstatie;1;;;;
ROESELARE - FH04;5755883;4;0;0;4;MDU;D;Y;NA;2;4;;;;;BUILDING template;Overstatie;2;;;;
ROESELARE - FH04;5755884;4;0;0;4;MDU;D;Y;NA;2;7;;;;;BUILDING template;Overstatie;3;;;;
ROESELARE - FH04;3417059;0;1;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Mandellaan;324;;;;
ROESELARE - FH04;3419404;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Vierwegstraat;41;;;;
ROESELARE - FH04;4354930;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Sint-Jorisstraat;38;;;;
ROESELARE - FH04;5755885;4;0;0;4;MDU;D;Y;NA;2;7;;;;;BUILDING template;Overstatie;4;;;;
ROESELARE - FH04;5755886;4;0;0;4;MDU;D;Y;NA;2;7;;;;;BUILDING template;Overstatie;5;;;;
ROESELARE - FH04;5713507;4;0;0;4;MDU;D;Y;NA;2;7;;;;;BUILDING template;Overstatie;6;;;;
ROESELARE - FH04;5713506;4;0;0;4;MDU;D;Y;NA;2;7;;;;;BUILDING template;Overstatie;7;;;;
ROESELARE - FH04;4353119;0;1;0;1;MDU;A;N;IRREG;1;16;;;;;BUILDING template;Jules Lagaelaan;10;A;;;
