Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
SINT-NIKLAAS - FH01;106651;0;1;0;1;SDU;;N;IRREG;3;5;;;;_;BUILDING template;Hofstraat;1;;;133858,51;206321,827
SINT-NIKLAAS - FH01;62575;0;0;0;0;MDU;D;N;IRREG;2;6;;;N;Gebouw bestaat niet;BUILDING template;Kleine Laan;34;;Kleine Laan 33-34;134134,83;206722,942
SINT-NIKLAAS - FH01;3515373;0;1;1;2;MDU;D;Y;NA;3;11;;;;_BG van gamaakt op vraag van René;BUILDING template;Stationsstraat;79;;;134159,187;206455,073
SINT-NIKLAAS - FH01;3497479;0;1;0;1;MDU;D;Y;NA;4;12;;;;_Nancy ok  -  bg met nr.29;BUILDING template;Kalkstraat;27;;Kalkstraat 27-29;134323,717;206078,009
SINT-NIKLAAS - FH01;3508491;0;1;0;1;SDU;;Y;NA;3;10;;;;_;BUILDING template;Nieuwstraat;15;;;133911,761;205974,154
SINT-NIKLAAS - FH01;3500614;0;1;0;1;MDU;C;Y;NA;5;12;;;;_Nancy ok -  Bg 61-63;BUILDING template;Kokkelbeekstraat;61;;Kokkelbeekstraat 61-63;134123,855;205818,456
SINT-NIKLAAS - FH01;1325907;1;0;0;1;SDU;;Y;NA;2;8;;;;_;BUILDING template;Kongostraat;97;;;133968,754;205569,207
SINT-NIKLAAS - FH01;6153694;4;1;0;5;MDU;A;N;IRREG;5;3;;;;_;BUILDING template;Hendrik Heymanplein;12;A;Hendrik Heymanplein 2-tem-96_Kokkelbeekstraat 1-tem-43;134082,498;205881,917
SINT-NIKLAAS - FH01;4234821;1;0;0;1;MDU;A;N;HEIGHT;8;0;;;;_Op vraag van René ( SDU laten staan );BUILDING template;Hofstraat;14;;Hofstraat 2-tem-44_Plezantstraat 1-3-5;133761,625;206269,555
SINT-NIKLAAS - FH01;69566;0;1;0;1;SDU;;Y;NA;3;11;;;;_;BUILDING template;Stationsstraat;81;;;134159,3;206458,909
SINT-NIKLAAS - FH01;3497485;3;0;0;3;MDU;D;Y;NA;4;12;;;;_Nancy ok -  bg met 27;BUILDING template;Kalkstraat;29;;Kalkstraat 27-29;134321,597;206073,626
SINT-NIKLAAS - FH01;3508493;3;1;0;4;MDU;C;N;IRREG;3;0;;;;_QC want er kan via het valse plafond naar boven geboord worden, dus er moeten geen kabelgoten gebruikt worden.;BUILDING template;Nieuwstraat;17;;;133906,249;205970,617
SINT-NIKLAAS - FH01;3500618;8;0;1;9;MDU;C;Y;NA;5;12;;;;_Nancy ok -  Bg 61-63;BUILDING template;Kokkelbeekstraat;63;;Kokkelbeekstraat 61-63;134124,31;205813,5
SINT-NIKLAAS - FH01;4444000;1;0;0;1;SDU;;Y;NA;2;8;;;;_;BUILDING template;Kongostraat;99;;;133964,544;205567,393
SINT-NIKLAAS - FH01;3494282;1;0;0;1;MDU;A;N;HEIGHT;8;0;;;;QA want er is op elke verdieping een toegankelijke schacht. Er moet wel geboord worden in elke schacht. Er zijn 6 trappenhallen met alle 6 een schacht tot op de 7de verdieping. Hofstraat 46 tot 78 bestaat niet.;BUILDING template;Hofstraat;2;;Hofstraat 2-tem-44_Plezantstraat 1-3-5;133761,638;206269,613
SINT-NIKLAAS - FH01;62570;0;1;1;2;MDU;D;Y;NA;2;7;;;;_BG van gamaakt op vraag van René;BUILDING template;Stationsplein;2;;;134168,085;206720,821
SINT-NIKLAAS - FH01;69565;0;1;1;2;MDU;D;Y;NA;3;12;;;;BE_BG van gamaakt op vraag van René;BUILDING template;Stationsstraat;83;;;134160,632;206468,522
SINT-NIKLAAS - FH01;977886;0;1;0;1;SDU;;Y;NA;3;9;;;;_;BUILDING template;Kleine Peperstraat;2;;;134303,614;206004,775
SINT-NIKLAAS - FH01;96725;0;1;0;1;SDU;;Y;NA;2;6;;;;_;BUILDING template;Kokkelbeekstraat;65;;;134129,658;205804,751
