Projectnummer;LAM MK;Building FID;Opdrachtnummer Extern;Status Omschrijving;Blok;Cluster NR;Straat;Huisnummer;Huisnummer Toevoeging;Wall Mount;SS Reason;Height Cable;Number Floors;Building comment;Quadrant;Kamer;Seq;Plaats;BUILDING KEY;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Status;SSV Completed;xPos;yPos;SSV Date;TSA NEEDED;TSA SENT;TSA SIGNED;Surveyor;Opdrachttemplate;SYNDIC NAME;SYNDIC ADDRESS;SYNDIC ZIPCODE;SYNDIC CITY;SYNDIC PHONE;SYNDIC DATE;SYNDIC EMAIL;SYNDIC INTERNAL REF;BG Name;SSV COMPLETED DATE
ANTWERPEN-WEST - FH11;977826;726315;;Site Survey;BL1116;;De Burburestraat;22;;Y;NA;3;3;_;;;;Antwerpen;977826;SDU;0;1;0;1;Site Survey;;151621;210988;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;4268511;33498840;;Site Survey;BL1105;;Waalsekaai;42;A;Y;NA;4;5;_;;;;Antwerpen;4268511;MDU;0;4;1;5;Site Survey;;151348;211047;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;NB-200011ece584;;;Site Survey;;;Ann Salenspad;11;;N;IRREG;;7;_;;;;Antwerpen;NB-200011ece584;MDU;1;33;1;35;Site Survey;;151243;210593;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2060996;683025;;Site Survey;BL1116;;Vlaamsekaai;48;;Y;NA;3;5;_;;;;Antwerpen;2060996;MDU;0;4;0;4;Site Survey;;151507;211022;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;977830;726318;;Site Survey;BL1116;;Leopold de Waelplaats;32;;Y;NA;3;4;_;;;;Antwerpen;977830;SDU;1;0;0;1;Site Survey;;151647;210964;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;4516817;33498433;;Site Survey;BL1109;;Leuvenstraat;30;;Y;NA;4;2;;;;;Antwerpen;4516817;SDU;0;1;0;1;Site Survey;;151471;211271;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2060998;683026;;Site Survey;BL1117;;Vlaamsekaai;53;;Y;NA;3;5;_;;;;Antwerpen;2060998;MDU;1;4;0;5;Site Survey;;151477;210992;;;;;Geert Stockman;BUILDING template;;;;;;;;;;11/05/2020
ANTWERPEN-WEST - FH11;990358;726711;;Site Survey;BL1111;;Waalsekaai;7;;Y;NA;3;6;Review Required;;;;Antwerpen;990358;MDU;0;10;1;11;Site Survey;;151615;211369;;;;;Geert Stockman;BUILDING template;Woonhaven;;;;;11/05/2020;;;;11/05/2020
ANTWERPEN-WEST - FH11;4516842;33498348;;Site Survey;BL1110;;Cockerillkaai;8;;Y;NA;3;5;_;;;;Antwerpen;4516842;SDU;0;1;1;2;Site Survey;;151541;211422;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2061005;683027;;Site Survey;BL1117;;Vlaamsekaai;58;;Y;NA;3;6;_;;;;Antwerpen;2061005;SDU;1;0;0;1;Site Survey;;151459;210956;;;;;Geert Stockman;BUILDING template;;;;;;;;;;11/05/2020
ANTWERPEN-WEST - FH11;4516998;33498639;;Site Survey;BL1112;;Vlaamsekaai;4;;Y;NA;3;3;_;;;;Antwerpen;4516998;SDU;1;0;0;1;Site Survey;;151733;211328;;;;;Geert Stockman;BUILDING template;;;;;;;;;;1/05/2020
ANTWERPEN-WEST - FH11;2061007;683028;;Site Survey;BL1117;;Vlaamsekaai;61;;Y;NA;3;4;_;;;;Antwerpen;2061007;MDU;1;3;0;4;Site Survey;;151445;210948;;;;;Geert Stockman;BUILDING template;;;;;;;;;;11/05/2020
ANTWERPEN-WEST - FH11;4516999;33498387;;Site Survey;BL1112;;Graaf van Egmontstraat;4;;Y;NA;4;2;;;;;Antwerpen;4516999;SDU;0;1;0;1;Site Survey;;151756;211328;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061008;683029;;Site Survey;BL1118;;Vlaamsekaai;65;;Y;NA;3;4;_;;;;Antwerpen;2061008;MDU;1;3;0;4;Site Survey;;151382;210865;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4517000;33498388;;Site Survey;BL1112;;Graaf van Egmontstraat;6;;Y;NA;4;2;;;;;Antwerpen;4517000;SDU;0;1;0;1;Site Survey;;151761;211328;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061009;31570972;;Site Survey;BL1118;;Vlaamsekaai;66;;Y;NA;3;5;_;;;;Antwerpen;2061009;MDU;0;9;0;9;Site Survey;;151377;210856;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4517008;33498642;;Site Survey;BL1113;;Vlaamsekaai;21;;Y;NA;5;5;_;;;;Antwerpen;4517008;MDU;1;3;1;5;Site Survey;;151650;211220;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;Eiffel House;;12/05/2020
ANTWERPEN-WEST - FH11;NB-200014a4c748;;;Site Survey;;;Cockerillkaai;14;;Y;NA;3;7;_;;;;Antwerpen;NB-200014a4c748;MDU;0;1;0;1;Site Survey;;151521;211392;6/05/2020;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061010;683031;;Site Survey;BL1118;;Vlaamsekaai;68;;Y;NA;3;4;_;;;;Antwerpen;2061010;MDU;0;4;0;4;Site Survey;;151372;210849;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4517012;33498645;;Site Survey;BL1113;;Vlaamsekaai;25;;Y;NA;4;2;;;;;Antwerpen;4517012;SDU;0;1;0;1;Site Survey;;151643;211201;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061011;683032;;Site Survey;BL1118;;Vlaamsekaai;69;;Y;NA;3;5;_;;;;Antwerpen;2061011;MDU;0;5;0;5;Site Survey;;151368;210846;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4517018;33498570;;Site Survey;BL1113;;Verlatstraat;9;;N;IRREG;4;5;_;;;;Antwerpen;4517018;MDU;2;6;1;9;Site Survey;;151661;211174;;;;;Maayken Vanfleteren;BUILDING template;03 beheer;;;;;12/05/2020;;;Verlatstraat 9_Vorstermanstraat 4-6-8-10;12/05/2020
ANTWERPEN-WEST - FH11;2061012;683033;;Site Survey;BL1118;;Vlaamsekaai;71;;Y;NA;3;5;_;;;;Antwerpen;2061012;MDU;0;5;0;5;Site Survey;;151361;210837;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4517213;33498386;;Site Survey;BL1119;;Gijzelaarsstraat;80;;Y;NA;3;6;_;;;;Antwerpen;4517213;SDU;1;0;0;1;Site Survey;;151354;210600;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2061013;683034;;Site Survey;BL1118;;Vlaamsekaai;72;;Y;NA;3;5;_;;;;Antwerpen;2061013;MDU;0;5;0;5;Site Survey;;151358;210833;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4518060;33498662;;Site Survey;BL1115;;Vlaamsekaai;37;;Y;NA;4;4;_;;;;Antwerpen;4518060;SDU;0;1;0;1;Site Survey;;151555;211093;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2061014;683035;;Site Survey;BL1118;;Vlaamsekaai;73;;Y;NA;3;5;_;;;;Antwerpen;2061014;MDU;1;4;0;5;Site Survey;;151354;210829;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4518174;33498384;;Site Survey;BL1118;;Gijzelaarsstraat;50;;Y;NA;3;5;_;;;;Antwerpen;4518174;SDU;0;1;0;1;Site Survey;;151377;210734;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;2061015;683036;;Site Survey;BL1118;;Vlaamsekaai;76;;Y;NA;4;5;_;;;;Antwerpen;2061015;MDU;5;0;0;5;Site Survey;;151344;210815;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4518834;33498483;;Site Survey;BL1116;;Pourbusstraat;11;;Y;NA;3;5;_;;;;Antwerpen;4518834;SDU;1;0;0;1;Site Survey;;151554;210976;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;NB-200012f15d97;;;Site Survey;;;Cockerillkaai;12;;Y;NA;3;6;_;;;;Antwerpen;NB-200012f15d97;MDU;1;0;1;2;Site Survey;;151526;211399;6/05/2020;;;;Hidde Kiekens;BUILDING template;Jalo;;;;;6/05/2020;;;;
ANTWERPEN-WEST - FH11;2061017;683037;;Site Survey;BL1118;;Vlaamsekaai;78;;Y;NA;3;5;_;;;;Antwerpen;2061017;MDU;0;5;0;5;Site Survey;;151337;210807;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4519107;33498584;;Site Survey;BL1104;;Verviersstraat;3;;Y;NA;4;2;;;;;Antwerpen;4519107;SDU;0;1;0;1;Site Survey;;151267;211034;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;De Gerlachekaai 15_Verviersstraat 3;
ANTWERPEN-WEST - FH11;2061018;683038;;Site Survey;BL1118;;Vlaamsekaai;79;;Y;NA;3;5;_;;;;Antwerpen;2061018;MDU;1;4;0;5;Site Survey;;151334;210803;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4519108;33498601;;Site Survey;BL1104;;Verviersstraat;5;;Y;NA;4;2;;;;;Antwerpen;4519108;SDU;0;1;0;1;Site Survey;;151272;211034;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061022;683039;;Site Survey;BL1118;;Vlaamsekaai;85;;Y;NA;3;5;_;;;;Antwerpen;2061022;MDU;1;2;0;3;Site Survey;;151302;210761;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4519109;33498602;;Site Survey;BL1104;;Verviersstraat;7;;Y;NA;4;2;;;;;Antwerpen;4519109;SDU;0;1;0;1;Site Survey;;151272;211034;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061023;683040;;Site Survey;BL1118;;Vlaamsekaai;86;;Y;NA;3;5;_;;;;Antwerpen;2061023;MDU;0;5;0;5;Site Survey;;151299;210756;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4519436;33498363;;Site Survey;BL1108;;Cockerillkaai;29;;Y;NA;4;2;;;;;Antwerpen;4519436;SDU;0;1;0;1;Site Survey;;151403;211216;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;Cockerillkaai 26-27-28-29-30-31;
ANTWERPEN-WEST - FH11;2061024;683041;;Site Survey;BL1118;;Vlaamsekaai;87;;Y;NA;3;5;_;;;;Antwerpen;2061024;MDU;0;5;0;5;Site Survey;;151296;210752;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4520325;33498470;;Site Survey;BL1102;;Namenstraat;15;;Y;NA;5;3;_;;;;Antwerpen;4520325;MDU;1;0;0;1;Site Survey;;151204;210870;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;4/05/2020
ANTWERPEN-WEST - FH11;2061025;683042;;Site Survey;BL1118;;Vlaamsekaai;88;;Y;NA;3;5;_;;;;Antwerpen;2061025;MDU;0;5;0;5;Site Survey;;151293;210748;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;4520331;33498556;;Site Survey;BL1102;;Schalienstraat;34;;N;ORN;4;6;_;;;;Antwerpen;4520331;MDU;0;8;1;9;Site Survey;;151237;210918;;;;;Maayken Vanfleteren;BUILDING template;Dominus beheer;;;;;4/05/2020;;;Schalienstraat 30-32-34;4/05/2020
ANTWERPEN-WEST - FH11;2061798;683701;;Site Survey;BL1112;;Vorstermanstraat;7;;Y;NA;3;4;_;;;;Antwerpen;2061798;MDU;1;3;0;4;Site Survey;;151738;211217;;;;;Geert Stockman;BUILDING template;;;;;;;;;;1/05/2020
ANTWERPEN-WEST - FH11;5303336;33498711;;Site Survey;BL1112;;Vorstermanstraat;5;A;Y;NA;3;4;_;;;;Antwerpen;5303336;MDU;0;2;0;2;Site Survey;;151713;211238;;;;;Geert Stockman;BUILDING template;;;;;;;;;;1/05/2020
ANTWERPEN-WEST - FH11;2061800;683702;;Site Survey;BL1113;;Vorstermanstraat;8;;Y;NA;4;4;;;;;Antwerpen;2061800;MDU;5;18;0;23;Site Survey;;151689;211163;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;5383746;33498439;;Site Survey;BL1110;;Leuvenstraat;76;;Y;NA;4;2;;;;;Antwerpen;5383746;SDU;0;1;0;1;Site Survey;;151506;211369;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2061801;683703;;Site Survey;BL1112;;Vorstermanstraat;9;;Y;NA;3;4;_;;;;Antwerpen;2061801;MDU;0;7;1;8;Site Survey;;151738;211217;;;;;Geert Stockman;BUILDING template;;;;;;;;;;1/05/2020
ANTWERPEN-WEST - FH11;5473543;33498409;;Site Survey;BL1115;;Leopold de Waelplaats;26;A;N;IRREG;4;6;_;;;;Antwerpen;5473543;MDU;1;0;0;1;Site Survey;;151699;211014;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;De burburestraat 43_leopold de waelplaats 26A-28-30;6/05/2020
ANTWERPEN-WEST - FH11;5575584;33498398;;Site Survey;BL1119;;Jan van Gentstraat;17;;Y;NA;4;2;;;;;Antwerpen;5575584;SDU;0;1;0;1;Site Survey;;151331;210633;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1028374;611172;;Site Survey;BL1119;;Gijzelaarsstraat;86;;Y;NA;3;4;_;;;;Antwerpen;1028374;MDU;1;3;0;4;Site Survey;;151353;210593;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2061804;683705;;Site Survey;BL1113;;Vorstermanstraat;16;;Y;NA;4;3;_;;;;Antwerpen;2061804;MDU;0;2;0;2;Site Survey;;151744;211176;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;12/05/2020
ANTWERPEN-WEST - FH11;5576299;33498566;;Site Survey;BL1101;;Van der Sweepstraat;7;;N;IRREG;4;14;_;;;;Antwerpen;5576299;MDU;1;0;0;1;Site Survey;;151149;210822;;;;;Maayken Vanfleteren;BUILDING template;Uw Beheer;;;;36663540;15/05/2020;;De Gerlache;Van Der Sweepstraat 3-5-7;
ANTWERPEN-WEST - FH11;1028377;14151210;;Site Survey;BL1119;;Gijzelaarsstraat;60;;Y;NA;3;4;_;;;;Antwerpen;1028377;MDU;1;4;0;5;Site Survey;;151366;210682;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2062523;684316;;Site Survey;BL1111;;Waalsekaai;3;;N;IRREG;4;6;_;;;;Antwerpen;2062523;MDU;0;9;1;10;Site Survey;;151639;211400;;;;;Geert Stockman;BUILDING template;Bvba Beheer;Amerikalei 132;2000;Antwerpen;03 238 65 66;11/05/2020;;;Waalsekaai 2-3-4-5;11/05/2020
ANTWERPEN-WEST - FH11;5576321;33498559;;Site Survey;BL1110;;Timmerwerfstraat;6;;Y;NA;4;2;;;;;Antwerpen;5576321;SDU;0;1;0;1;Site Survey;;151548;211395;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;NB-200018efad89;;;Site Survey;;;Cockerillkaai;18;;N;IRREG;;8;_;;;;Antwerpen;NB-200018efad89;MDU;4;2;1;7;Site Survey;;151459;211289;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;Anker 18;;;;32321818;15/05/2020;info@anker18.be;;;
ANTWERPEN-WEST - FH11;1028380;611176;;Site Survey;BL1121;;Jan van Gentstraat;2;;Y;NA;4;2;_;;;;Antwerpen;1028380;SDU;0;1;0;1;Site Survey;;151272;210674;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2062526;684317;;Site Survey;BL1111;;Waalsekaai;6;;Y;NA;3;6;Review Required;;;;Antwerpen;2062526;MDU;0;11;1;12;Site Survey;;151625;211382;;;;;Geert Stockman;BUILDING template;Woonhaven;;;;;11/05/2020;;;;11/05/2020
ANTWERPEN-WEST - FH11;5576377;33498704;;Site Survey;BL1118;;Vlaamsekaai;83;;Y;NA;10;6;_;;;;Antwerpen;5576377;SDU;1;0;0;1;Site Survey;;151323;210781;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;1028381;11688324;;Site Survey;BL1119;;Jan van Gentstraat;1;;N;ORN;4;6;_;;;;Antwerpen;1028381;MDU;9;0;1;10;Site Survey;;151331;210631;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;Jan van gentstraat 1-3_pacificatiestraat 2;6/05/2020
ANTWERPEN-WEST - FH11;2062530;684318;;Site Survey;BL1111;;Waalsekaai;8;;Y;NA;3;6;Review Required;;;;Antwerpen;2062530;MDU;0;11;1;12;Site Survey;;151605;211357;;;;;Geert Stockman;BUILDING template;Woonhaven;;;;;11/05/2020;;;;11/05/2020
ANTWERPEN-WEST - FH11;5770316;33498553;;Site Survey;BL1103;;Schalienstraat;1;A;Y;NA;4;2;;;;;Antwerpen;5770316;SDU;0;1;0;1;Site Survey;;151168;210944;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1028383;611179;;Site Survey;BL1119;;Jan van Gentstraat;5;;N;ORN;4;6;_;;;;Antwerpen;1028383;MDU;1;0;0;1;Site Survey;;151334;210649;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;Jan van gentstraat 5-7-9-11;6/05/2020
ANTWERPEN-WEST - FH11;2062531;684319;;Site Survey;BL1111;;Waalsekaai;10;;Y;NA;6;4;_;;;;Antwerpen;2062531;SDU;1;0;0;1;Site Survey;;151598;211347;;;;;Geert Stockman;BUILDING template;;;;;;;;;;11/05/2020
ANTWERPEN-WEST - FH11;5824909;33498541;;Site Survey;BL1116;;Pourbusstraat;33;;N;ORN;4;2;_;;;;Antwerpen;5824909;MDU;0;3;1;4;Site Survey;;151582;210946;;;;;Geert Stockman;BUILDING template;;;;;;;;;Pourbusstraat 33_Verschaningstraat 20;2/05/2020
ANTWERPEN-WEST - FH11;1028385;611180;;Site Survey;BL1121;;Vlaamsekaai;92;;Y;NA;3;4;_;;;;Antwerpen;1028385;MDU;0;3;0;3;Site Survey;;151242;210684;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2062533;684320;;Site Survey;BL1110;;Waalsekaai;18;;Y;NA;3;4;_;;;;Antwerpen;2062533;SDU;1;0;0;1;Site Survey;;151537;211271;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;5861715;33498489;;Site Survey;BL1116;;Pourbusstraat;31;;Y;NA;4;2;;;;;Antwerpen;5861715;SDU;0;1;0;1;Site Survey;;151581;210948;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1028387;611182;;Site Survey;BL1121;;Gentplaats;7;;Y;NA;3;4;_;;;;Antwerpen;1028387;MDU;1;3;0;4;Site Survey;;151250;210681;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2062534;684321;;Site Survey;BL1110;;Waalsekaai;19;;Y;NA;3;4;_;;;;Antwerpen;2062534;SDU;1;0;0;1;Site Survey;;151535;211267;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;5961115;33498402;;Site Survey;BL1119;;Jan van Gentstraat;23;;Y;NA;4;2;;;;;Antwerpen;5961115;SDU;0;1;0;1;Site Survey;;151338;210609;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;NB-2000244fd584;;;Site Survey;;;Waalsekaai;24;;Y;NA;3;4;_;;;;Antwerpen;NB-2000244fd584;SDU;0;1;0;1;Site Survey;;151469;211198;6/05/2020;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1028388;11688325;;Site Survey;BL1119;;Pacificatiestraat;2;;N;ORN;4;5;_;;;;Antwerpen;1028388;MDU;1;0;0;1;Site Survey;;151323;210657;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;Jan van gentstraat 1-3_pacificatiestraat 2;6/05/2020
ANTWERPEN-WEST - FH11;2062535;684322;;Site Survey;BL1110;;Waalsekaai;20;;Y;NA;3;4;_;;;;Antwerpen;2062535;MDU;1;1;0;2;Site Survey;;151531;211263;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;6068451;33498854;;Site Survey;BL1104;;Waalsekaai;45;A;Y;NA;3;6;_;;;;Antwerpen;6068451;MDU;1;0;0;1;Site Survey;;151327;211019;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;1028391;611185;;Site Survey;BL1119;;Pacificatiestraat;16;;Y;NA;3;3;_;;;;Antwerpen;1028391;MDU;0;3;0;3;Site Survey;;151359;210680;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
