Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;2069024;2069024;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;14;;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;0;13;2;15;BUILDING template
ANTWERPEN-WEST - FH01;2069022;2069022;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;12;;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;0;7;2;9;BUILDING template
ANTWERPEN-WEST - FH01;3928764;3928764;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;13;;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4066155;4066155;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;10;A;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069021;2069021;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;11;;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5576507;5576507;20727211;Entrepotkaai 15-16;Entrepotkaai;16;;20191009135215;A;2019-09-05 15:34:51;olivier collignon;MDU;0;10;2;12;BUILDING template
ANTWERPEN-WEST - FH01;2069025;2069025;20727211;Entrepotkaai 15-16;Entrepotkaai;15;;20191009135215;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069012;2069012;20726981;Entrepotkaai 3-4-5-6;Entrepotkaai;4;;20191009135015;A;2019-09-05 15:34:51;olivier collignon;MDU;0;9;2;11;BUILDING template
ANTWERPEN-WEST - FH01;2069014;2069014;20726981;Entrepotkaai 3-4-5-6;Entrepotkaai;5;;20191009135015;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069015;2069015;20726981;Entrepotkaai 3-4-5-6;Entrepotkaai;6;;20191009135015;A;2019-09-05 15:34:51;olivier collignon;MDU;0;11;2;13;BUILDING template
ANTWERPEN-WEST - FH01;185911;185911;20726981;Entrepotkaai 3-4-5-6;Entrepotkaai;3;;20191009135015;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069017;2069017;20727154;Entrepotkaai 7-8-9-10;Entrepotkaai;8;;20191009135041;A;2019-09-05 15:34:51;olivier collignon;MDU;0;9;2;11;BUILDING template
ANTWERPEN-WEST - FH01;2069018;2069018;20727154;Entrepotkaai 7-8-9-10;Entrepotkaai;9;;20191009135041;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069019;2069019;20727154;Entrepotkaai 7-8-9-10;Entrepotkaai;10;;20191009135041;A;2019-09-05 15:34:51;olivier collignon;MDU;0;14;2;16;BUILDING template
ANTWERPEN-WEST - FH01;4507060;4507060;20727154;Entrepotkaai 7-8-9-10;Entrepotkaai;7;;20191009135041;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
