File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
1;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644802;'20191004142304;1905254;'1630000;'10177;Godefriduskaai;'4;';2000;Antwerpen;;'152577,627;'213102,821;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1775619;;LU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;MODIFY;;;';1905254;1775619
2;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644802;'20191004142304;1905254;'1630000;'10177;Godefriduskaai;'4;';2000;Antwerpen;;'152577,627;'213102,821;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11077145;;LU;1;'11;'101;';'1;MDU;11;101;;1;;Y;;;;NA;;;;;;;N;MODIFY;;;';1905254;11077145
3;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644802;'20191004142304;1905254;'1630000;'10177;Godefriduskaai;'4;';2000;Antwerpen;;'152577,627;'213102,821;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;11184267;;LU;1;'21;'2;';'0;MDU;21;2;;0;;Y;;;;NA;;;;;;;N;MODIFY;;;';1905254;11184267
4;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707107;'20191006010430;4510648;'1630000;'10177;Godefriduskaai;'6;';2000;Antwerpen;;'152583,4;'213102,821;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11077146;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;;;NA;;;;;;;N;MODIFY;;;';4510648;11077146
5;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707107;'20191006010430;4510648;'1630000;'10177;Godefriduskaai;'6;';2000;Antwerpen;;'152583,4;'213102,821;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1824038;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;MODIFY;;;';4510648;1824038
6;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;615628;'20200225094429;1287193;'1630000;'10177;Godefriduskaai;'16;';2000;Antwerpen;;'152618,386;'213105,443;;N;MON;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';1;1668352;;BU;1;'11;'101;';'1;MDU;11;101;;1;;Y;;OFFICE;KANTOORGEBOUW - BATIMENT DE BUREAU;NA;B;BOWN;;;;;N;MODIFY;;;';1287193;1668352
7;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;615628;'20200225094429;1287193;'1630000;'10177;Godefriduskaai;'16;';2000;Antwerpen;;'152618,386;'213105,443;;N;MON;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';2;11077151;;BU;1;'21;'201;';'2;MDU;21;201;;2;;Y;;;;NA;B;BOWN;;;;;N;MODIFY;;;';1287193;11077151
8;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;615628;'20200225094429;1287193;'1630000;'10177;Godefriduskaai;'16;';2000;Antwerpen;;'152618,386;'213105,443;;N;MON;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';3;11077152;;BU;1;'31;'301;';'3;MDU;31;301;;3;;Y;;;;NA;B;BOWN;;;;;N;MODIFY;;;';1287193;11077152
9;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;615628;'20200225094429;1287193;'1630000;'10177;Godefriduskaai;'16;';2000;Antwerpen;;'152618,386;'213105,443;;N;MON;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';4;11077153;;BU;1;'41;'401;';'4;MDU;41;401;;4;;Y;;;;NA;B;BOWN;;;;;N;MODIFY;;;';1287193;11077153
10;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;615628;'20200225094429;1287193;'1630000;'10177;Godefriduskaai;'16;';2000;Antwerpen;;'152618,386;'213105,443;;N;MON;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';5;11077154;;BU;1;'51;'501;';'5;MDU;51;501;;5;;Y;;;;NA;B;BOWN;;;;;N;MODIFY;;;';1287193;11077154
