BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
174297;174297;;;;;2020-08-18;;;
3015005;1186852;Diestsestraat;175;;C;2020-08-11;2020-08-10;;
379742;379742;;;;;2020-08-18;;;
5398;5398;Jan Stasstraat;2;;XC;2020-08-18;2020-08-17;;
3014972;3014972;Diestsestraat;147;;C;2020-08-11;2020-08-10;;
1100180;1100180;;;;;2020-08-11;;;
3025312;3025312;;;;;2020-08-18;;;
1186852;1186852;Justus Lipsiusstraat;63;;XA;2020-08-04;2020-07-22;;
3014913;3014913;;;;;2020-08-04;;;
1507101;;;;;;;;NOK;
4789242;;;;;;;;NOK;
3035128;;;;;;;;NOK;
