Zip;Municipality;CONTACT;EMAIL;TELNR
3000;Leuven;Dirk Crama;glasvezel.leuven@proximus.com;80032492
1000;Brussel;nan;nan;nan
1180;Uccle;nan;nan;nan
3500;Hasselt;nan;nan;nan
4000;Liège;nan;nan;nan
2000;Antwerpen;nan;nan;nan
7022;Mons;nan;nan;nan
7000;Mons;nan;nan;nan
7012;Mons;nan;nan;nan
7033;Mons;nan;nan;nan
8800;Roeselare;nan;nan;nan
8301;Knokke-Heist;nan;nan;nan
8300;Knokke-Heist;nan;nan;nan
6001;Charleroi;nan;nan;nan
6032;Charleroi;nan;nan;nan
6030;Charleroi;nan;nan;nan
6020;Charleroi;nan;nan;nan
5001;Namen;nan;nan;nan
5000;Namen;nan;nan;nan
7301;Boussu;nan;nan;nan
7340;Colfontaine;nan;nan;nan
7330;Saint-Ghislain;nan;nan;nan
7300;Boussu;nan;nan;nan
7390;Quaregnon;nan;nan;nan
7080;Frameries;nan;nan;nan
